epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
23,317.403,1.88674,2.87538,1.99677,0.07876,0.28586,0.12077,0.05028,2.10491,3.37202,2.32492,0.007822,0.007822,0.007822
24,331.364,1.90413,2.87842,2.02938,0.1537,0.24752,0.09873,0.03447,2.10247,3.14176,2.37351,0.007723,0.007723,0.007723
25,345.277,1.86414,2.81582,1.95492,0.13538,0.18038,0.12371,0.05328,2.13262,3.13979,2.28379,0.007624,0.007624,0.007624
26,359.176,1.89222,2.85091,1.98473,0.20103,0.24738,0.15285,0.06616,2.06999,3.07563,2.21051,0.007525,0.007525,0.007525
27,373.255,1.91384,2.82593,1.98755,0.15883,0.28763,0.11152,0.04446,2.10901,3.22995,2.28285,0.007426,0.007426,0.007426
28,387.18,1.91998,2.81048,2.01672,0.24377,0.21089,0.11709,0.04844,2.02268,3.39655,2.23073,0.007327,0.007327,0.007327
29,400.554,1.82545,2.74222,1.92163,0.16177,0.23023,0.11231,0.04734,2.01577,3.42592,2.20271,0.007228,0.007228,0.007228
30,413.939,1.81919,2.68293,1.91556,0.20694,0.2404,0.14338,0.07151,2.03543,2.98889,2.21084,0.007129,0.007129,0.007129
31,427.304,1.82631,2.70601,1.90326,0.23282,0.20354,0.1716,0.07884,2.04808,2.89213,2.22195,0.00703,0.00703,0.00703
32,440.629,1.82351,2.71378,1.91412,0.23128,0.19684,0.14013,0.06089,2.068,3.02268,2.31673,0.006931,0.006931,0.006931
33,453.944,1.82187,2.7175,1.92755,0.19861,0.24668,0.15747,0.07118,2.03466,3.00519,2.2491,0.006832,0.006832,0.006832
34,467.317,1.81501,2.65977,1.9031,0.26131,0.21685,0.14439,0.05249,2.16482,2.97097,2.30014,0.006733,0.006733,0.006733
35,480.726,1.808,2.64649,1.89572,0.27549,0.28068,0.15838,0.06328,2.06757,3.0117,2.21194,0.006634,0.006634,0.006634
36,494.072,1.82643,2.64542,1.9246,0.25015,0.21178,0.17181,0.07187,2.04561,3.1267,2.22585,0.006535,0.006535,0.006535
37,508.03,1.81757,2.62237,1.9169,0.29873,0.19836,0.17944,0.08333,1.99263,2.93121,2.18879,0.006436,0.006436,0.006436
38,521.377,1.75271,2.59549,1.85981,0.26442,0.24687,0.20424,0.08173,2.09638,2.84807,2.30168,0.006337,0.006337,0.006337
39,534.651,1.7973,2.6299,1.89913,0.28797,0.22404,0.18355,0.07867,1.98863,2.83225,2.17955,0.006238,0.006238,0.006238
40,548.022,1.76639,2.59878,1.87058,0.18202,0.23535,0.15294,0.06569,2.01057,2.89232,2.20086,0.006139,0.006139,0.006139
41,561.329,1.77902,2.57358,1.8673,0.28527,0.25902,0.15553,0.05599,2.0365,2.97234,2.21641,0.00604,0.00604,0.00604
42,574.747,1.75811,2.5226,1.86195,0.19266,0.25379,0.16077,0.0643,2.00802,2.96096,2.24915,0.005941,0.005941,0.005941
43,588.185,1.78485,2.59514,1.87811,0.25378,0.31505,0.17294,0.0751,1.96116,2.89734,2.16343,0.005842,0.005842,0.005842
44,601.579,1.76432,2.54441,1.83584,0.25867,0.27677,0.22836,0.10001,1.96113,2.77334,2.14846,0.005743,0.005743,0.005743
45,614.947,1.70095,2.54211,1.82935,0.35555,0.25526,0.20906,0.09766,1.96918,2.78164,2.16736,0.005644,0.005644,0.005644
46,628.357,1.73323,2.54391,1.85648,0.26,0.27551,0.21175,0.09262,1.9785,2.75979,2.18827,0.005545,0.005545,0.005545
47,641.724,1.70563,2.5444,1.83129,0.14102,0.13929,0.07694,0.02834,2.31811,3.62012,2.59302,0.005446,0.005446,0.005446
48,655.128,1.71997,2.48045,1.82273,0.28844,0.24918,0.20776,0.09846,1.98752,2.73732,2.1681,0.005347,0.005347,0.005347
49,668.472,1.72122,2.52313,1.8429,0.30858,0.29143,0.24905,0.12064,1.94536,2.66091,2.12782,0.005248,0.005248,0.005248
50,681.802,1.73054,2.53416,1.84181,0.25581,0.22912,0.21835,0.10096,2.04571,2.80817,2.23448,0.005149,0.005149,0.005149
51,695.148,1.72821,2.48234,1.85441,0.25783,0.29637,0.18561,0.08596,2.02626,2.86167,2.26228,0.00505,0.00505,0.00505
52,709.052,1.71081,2.44447,1.84843,0.33484,0.2935,0.25023,0.11224,1.99083,2.74857,2.15622,0.004951,0.004951,0.004951
53,723.328,1.7172,2.48542,1.8303,0.33065,0.28826,0.24027,0.11701,1.95111,2.71939,2.15093,0.004852,0.004852,0.004852
54,737.041,1.68391,2.42768,1.80746,0.23693,0.28306,0.19776,0.09413,2.02454,2.84316,2.23228,0.004753,0.004753,0.004753
55,750.372,1.6925,2.42894,1.80812,0.28275,0.26483,0.17011,0.0736,2.09962,2.86366,2.33655,0.004654,0.004654,0.004654
56,763.791,1.65678,2.41627,1.78809,0.3349,0.3548,0.23331,0.10661,1.95677,2.80105,2.16405,0.004555,0.004555,0.004555
57,777.478,1.6763,2.35678,1.78028,0.24893,0.33015,0.21962,0.09509,2.02886,2.64171,2.16918,0.004456,0.004456,0.004456
58,790.875,1.65791,2.35737,1.76816,0.25787,0.38484,0.22564,0.10642,1.96806,2.74685,2.15608,0.004357,0.004357,0.004357
59,804.239,1.68992,2.35823,1.77124,0.34979,0.30921,0.27925,0.14097,1.94858,2.60838,2.12729,0.004258,0.004258,0.004258
60,817.711,1.655,2.37169,1.77447,0.32536,0.25725,0.28623,0.14611,1.9228,2.63769,2.11686,0.004159,0.004159,0.004159
61,831.114,1.62933,2.34693,1.75411,0.30035,0.27804,0.19967,0.09873,1.98891,2.68843,2.19693,0.00406,0.00406,0.00406
62,844.447,1.61684,2.32548,1.74436,0.31221,0.30093,0.26735,0.13512,1.91194,2.64588,2.112,0.003961,0.003961,0.003961
63,857.795,1.60352,2.30055,1.73306,0.2711,0.31083,0.21947,0.10939,1.90512,2.66727,2.13921,0.003862,0.003862,0.003862
64,871.137,1.64168,2.30907,1.7553,0.31182,0.31826,0.22813,0.10395,1.91217,2.65189,2.09738,0.003763,0.003763,0.003763
65,884.597,1.62989,2.29049,1.74254,0.27109,0.34688,0.24882,0.12621,1.94808,2.67975,2.16398,0.003664,0.003664,0.003664
66,897.996,1.6446,2.33342,1.75836,0.31388,0.26588,0.23337,0.11181,1.98342,2.71057,2.11602,0.003565,0.003565,0.003565
67,911.339,1.61079,2.29356,1.73212,0.30532,0.33568,0.27422,0.1332,1.88537,2.529,2.06316,0.003466,0.003466,0.003466
68,924.709,1.63555,2.26086,1.73013,0.31907,0.3201,0.24714,0.11585,1.97536,2.57032,2.15791,0.003367,0.003367,0.003367
69,939.005,1.60083,2.23003,1.71757,0.33449,0.26794,0.25605,0.12298,1.99342,2.57308,2.1862,0.003268,0.003268,0.003268
70,952.901,1.61214,2.19826,1.72784,0.29483,0.35399,0.26524,0.12867,1.89845,2.5218,2.12261,0.003169,0.003169,0.003169
71,967.228,1.55449,2.17972,1.70206,0.29519,0.35664,0.2541,0.12842,1.93602,2.63156,2.15962,0.00307,0.00307,0.00307
72,981.5,1.59209,2.20615,1.70947,0.35297,0.32648,0.27763,0.13936,1.9319,2.54191,2.09842,0.002971,0.002971,0.002971
73,995.626,1.5517,2.18979,1.67478,0.3591,0.26025,0.27288,0.15513,1.9072,2.5658,2.11346,0.002872,0.002872,0.002872
74,1009.94,1.57743,2.16784,1.69686,0.36653,0.37201,0.28445,0.14273,1.93877,2.5108,2.15683,0.002773,0.002773,0.002773
75,1024.47,1.59848,2.19116,1.71886,0.35999,0.35517,0.287,0.15094,1.94747,2.49611,2.1434,0.002674,0.002674,0.002674
76,1038.81,1.563,2.16599,1.68685,0.30545,0.36077,0.32459,0.1694,1.90207,2.41792,2.115,0.002575,0.002575,0.002575
77,1052.69,1.53816,2.13828,1.67365,0.41516,0.31786,0.31246,0.15434,1.92968,2.51011,2.15243,0.002476,0.002476,0.002476
78,1066.42,1.53215,2.10943,1.66839,0.30192,0.33205,0.28223,0.1435,1.8962,2.46847,2.1126,0.002377,0.002377,0.002377
79,1079.68,1.49251,2.08959,1.64244,0.31455,0.36897,0.26941,0.1318,1.92558,2.60164,2.13014,0.002278,0.002278,0.002278
80,1093.33,1.55726,2.14868,1.70678,0.39375,0.32354,0.28568,0.13784,1.91624,2.50602,2.16859,0.002179,0.002179,0.002179
81,1107.67,1.53366,2.0833,1.66688,0.32769,0.36045,0.29084,0.14736,1.92135,2.49623,2.15778,0.00208,0.00208,0.00208
82,1121.64,1.51109,2.08494,1.65745,0.37531,0.34138,0.30416,0.15754,1.90538,2.43198,2.10026,0.001981,0.001981,0.001981
83,1134.97,1.50728,2.09099,1.64711,0.33984,0.37293,0.3276,0.16966,1.92734,2.4793,2.12742,0.001882,0.001882,0.001882
84,1148.26,1.47356,2.0509,1.64552,0.34045,0.34792,0.30068,0.1642,1.88471,2.47931,2.12634,0.001783,0.001783,0.001783
85,1161.55,1.50856,2.08133,1.65488,0.39373,0.33127,0.32874,0.17262,1.88754,2.44908,2.10929,0.001684,0.001684,0.001684
86,1174.89,1.469,2.0138,1.62694,0.36079,0.40416,0.31946,0.16772,1.89119,2.43217,2.10991,0.001585,0.001585,0.001585
87,1188.18,1.50535,1.99624,1.63969,0.52203,0.30266,0.33058,0.16957,1.90361,2.4445,2.12055,0.001486,0.001486,0.001486
88,1201.52,1.45091,1.93779,1.60859,0.52102,0.30142,0.34657,0.17818,1.90613,2.43887,2.11458,0.001387,0.001387,0.001387
89,1214.82,1.50019,1.95949,1.63618,0.41184,0.33267,0.3281,0.17794,1.92266,2.42334,2.1308,0.001288,0.001288,0.001288
90,1228.51,1.47149,1.92269,1.60676,0.39061,0.35715,0.33102,0.17292,1.90924,2.40499,2.12111,0.001189,0.001189,0.001189
91,1250.78,1.50544,2.12555,1.71187,0.34418,0.36921,0.31538,0.16298,1.94823,2.54289,2.20175,0.00109,0.00109,0.00109
92,1264.1,1.52367,2.02662,1.73893,0.40373,0.31919,0.2899,0.13698,1.93485,2.54922,2.21173,0.000991,0.000991,0.000991
93,1277.42,1.44722,1.91391,1.6756,0.41036,0.32837,0.30609,0.15034,1.89878,2.48108,2.15329,0.000892,0.000892,0.000892
94,1290.84,1.435,1.93432,1.66281,0.42186,0.32316,0.32254,0.17199,1.91252,2.40513,2.15748,0.000793,0.000793,0.000793
95,1304.13,1.41993,1.88556,1.64141,0.40982,0.29654,0.32195,0.16811,1.92163,2.40973,2.14206,0.000694,0.000694,0.000694
96,1317.53,1.40686,1.84054,1.62439,0.47352,0.32731,0.35789,0.1897,1.90412,2.36296,2.13223,0.000595,0.000595,0.000595
97,1330.86,1.41333,1.85107,1.63958,0.41578,0.35177,0.35822,0.19754,1.88173,2.36878,2.12148,0.000496,0.000496,0.000496
98,1344.18,1.40946,1.81531,1.64391,0.39545,0.36154,0.35389,0.19339,1.88508,2.35993,2.13008,0.000397,0.000397,0.000397
99,1357.48,1.39415,1.79194,1.62171,0.40995,0.3865,0.35245,0.19324,1.89939,2.3718,2.14427,0.000298,0.000298,0.000298
100,1370.93,1.35051,1.72666,1.60246,0.40574,0.37675,0.35463,0.19468,1.89486,2.35162,2.12969,0.000199,0.000199,0.000199
