epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5702,2.21344,3.49585,2.1375,0.00103,0.10922,0.00054,0.00017,3.60896,2311.45,32.6106,0.0708824,0.00323529,0.00323529
2,30.0105,2.46016,3.45602,2.40368,0.00016,0.02332,8e-05,2e-05,4.4602,27068.9,524.449,0.0408173,0.0065036,0.0065036
3,45.2775,2.43642,3.50635,2.42506,0.0028,0.26075,0.00234,0.00064,3.26519,5600.12,11.6386,0.0106863,0.0097059,0.0097059
4,59.8317,2.32989,3.46377,2.36064,0.00683,0.13996,0.00273,0.00075,3.27202,1301,6.04617,0.009703,0.009703,0.009703
5,73.2405,2.3346,3.35522,2.31974,0.00201,0.12907,0.00327,0.00107,3.71929,391.847,9.5509,0.009604,0.009604,0.009604
6,86.8542,2.2873,3.31828,2.3234,0.01693,0.30497,0.0117,0.0032,2.90916,104.845,4.15436,0.009505,0.009505,0.009505
7,100.317,2.20842,3.30707,2.29168,0.01396,0.09093,0.00847,0.00238,3.00107,46.9205,3.39666,0.009406,0.009406,0.009406
8,113.574,2.14772,3.26414,2.18837,0.02934,0.10771,0.01159,0.00331,2.49102,11.1672,2.84752,0.009307,0.009307,0.009307
9,126.773,2.14754,3.17744,2.16333,0.01691,0.04489,0.00759,0.0024,3.00554,5.36855,3.32477,0.009208,0.009208,0.009208
10,139.99,2.09183,3.17814,2.14691,0.0442,0.1244,0.02408,0.00809,2.33424,4.27786,2.48208,0.009109,0.009109,0.009109
11,153.174,2.10602,3.14486,2.12481,0.04697,0.20694,0.02527,0.00792,2.37224,3.81182,2.56255,0.00901,0.00901,0.00901
12,166.363,2.05586,3.10453,2.1108,0.07073,0.1159,0.02809,0.00925,2.44952,4.03018,2.59188,0.008911,0.008911,0.008911
13,179.523,2.05266,3.07538,2.08284,0.0425,0.16343,0.02731,0.00838,2.41263,4.08843,2.62707,0.008812,0.008812,0.008812
14,193.156,2.04404,3.03288,2.09323,0.10833,0.12826,0.0743,0.02385,2.25812,4.2773,2.39789,0.008713,0.008713,0.008713
15,206.749,2.0103,3.03322,2.06888,0.09911,0.15493,0.04623,0.01426,2.25782,4.02992,2.48692,0.008614,0.008614,0.008614
16,220.375,1.9722,2.98447,2.03428,0.07835,0.12029,0.06611,0.02441,2.19626,3.23992,2.31175,0.008515,0.008515,0.008515
17,233.961,2.00112,2.99386,2.06113,0.11444,0.12408,0.0531,0.02185,2.15583,3.59818,2.39326,0.008416,0.008416,0.008416
18,247.8,1.96735,2.95572,2.0668,0.47649,0.08614,0.06704,0.02258,2.20779,3.28088,2.37374,0.008317,0.008317,0.008317
19,261.899,1.94963,2.8819,2.01775,0.13753,0.1714,0.0671,0.02265,2.16264,3.31136,2.35276,0.008218,0.008218,0.008218
20,275.714,1.96479,2.87135,2.03636,0.13827,0.15328,0.07472,0.02759,2.33449,3.45015,2.56976,0.008119,0.008119,0.008119
21,289.614,1.9566,2.92461,2.0378,0.12014,0.21908,0.06153,0.02498,2.17343,3.27885,2.37596,0.00802,0.00802,0.00802
22,303.463,1.93572,2.92874,2.00745,0.13877,0.24462,0.10036,0.0392,2.05245,3.13512,2.23579,0.007921,0.007921,0.007921
