epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
58,1936.32,0.06477,0.81364,1,0.81608,0.000215285,0.000215285,0.000215285
59,1962.59,0.04353,0.81818,1,0.82753,0.00021029,0.00021029,0.00021029
60,1988.87,0.08416,0.81364,1,0.807,0.000205295,0.000205295,0.000205295
61,2015.96,0.0577,0.8,1,0.81655,0.0002003,0.0002003,0.0002003
62,2069.36,0.04544,0.80455,1,0.87827,0.000195305,0.000195305,0.000195305
63,2095.36,0.06918,0.8,1,0.87873,0.00019031,0.00019031,0.00019031
64,2121.97,0.05483,0.8,1,0.91578,0.000185315,0.000185315,0.000185315
65,2149.04,0.06126,0.80455,1,0.91823,0.00018032,0.00018032,0.00018032
66,2203.14,0.04533,0.81364,1,0.89075,0.000175325,0.000175325,0.000175325
67,2229.31,0.03979,0.79545,1,0.93298,0.00017033,0.00017033,0.00017033
68,2255.55,0.07323,0.79091,1,0.86644,0.000165335,0.000165335,0.000165335
69,2282.38,0.04379,0.79545,1,0.98107,0.00016034,0.00016034,0.00016034
70,2335.39,0.03574,0.81364,1,0.94738,0.000155345,0.000155345,0.000155345
71,2361.51,0.04542,0.80909,1,0.94561,0.00015035,0.00015035,0.00015035
72,2389.51,0.05564,0.79545,1,0.93885,0.000145355,0.000145355,0.000145355
73,2417.19,0.04375,0.78182,1,1.06569,0.00014036,0.00014036,0.00014036
74,2469.92,0.05073,0.79091,1,1.0598,0.000135365,0.000135365,0.000135365
75,2496.07,0.03751,0.8,1,1.05642,0.00013037,0.00013037,0.00013037
76,2522.23,0.04284,0.81818,1,1.00857,0.000125375,0.000125375,0.000125375
77,2549.16,0.03888,0.8,1,0.97952,0.00012038,0.00012038,0.00012038
78,2601.99,0.04042,0.78182,1,1.00249,0.000115385,0.000115385,0.000115385
79,2628.04,0.09587,0.78182,1,1.02607,0.00011039,0.00011039,0.00011039
80,2654.48,0.03624,0.8,1,1.02644,0.000105395,0.000105395,0.000105395
81,2681.34,0.03853,0.79545,1,1.02357,0.0001004,0.0001004,0.0001004
82,2735.94,0.04471,0.78182,1,1.00763,9.5405e-05,9.5405e-05,9.5405e-05
83,2761.97,0.03695,0.78636,1,0.96588,9.041e-05,9.041e-05,9.041e-05
84,2788.01,0.04333,0.79545,1,0.95982,8.5415e-05,8.5415e-05,8.5415e-05
85,2814.43,0.02563,0.79545,1,0.96134,8.042e-05,8.042e-05,8.042e-05
86,2867.97,0.03209,0.79091,1,0.95423,7.5425e-05,7.5425e-05,7.5425e-05
87,2894.2,0.03206,0.78636,1,0.96048,7.043e-05,7.043e-05,7.043e-05
88,2920.55,0.02867,0.79091,1,0.98233,6.5435e-05,6.5435e-05,6.5435e-05
89,2947.78,0.02228,0.78636,1,0.96217,6.044e-05,6.044e-05,6.044e-05
90,3000.56,0.04651,0.79091,1,0.96285,5.5445e-05,5.5445e-05,5.5445e-05
91,3039.81,0.03963,0.81364,1,0.89706,5.045e-05,5.045e-05,5.045e-05
92,3067.35,0.03163,0.79545,1,0.92011,4.5455e-05,4.5455e-05,4.5455e-05
93,3093.3,0.03519,0.80909,1,0.90823,4.046e-05,4.046e-05,4.046e-05
94,3146.4,0.02506,0.80455,1,0.9513,3.5465e-05,3.5465e-05,3.5465e-05
95,3173.67,0.03091,0.79545,1,0.9321,3.047e-05,3.047e-05,3.047e-05
96,3200.03,0.02322,0.8,1,0.93064,2.5475e-05,2.5475e-05,2.5475e-05
97,3227.07,0.03357,0.8,1,0.9408,2.048e-05,2.048e-05,2.048e-05
98,3280.07,0.04833,0.79545,1,0.93509,1.5485e-05,1.5485e-05,1.5485e-05
99,3305.99,0.02673,0.80455,1,0.93846,1.049e-05,1.049e-05,1.049e-05
100,3332.62,0.03247,0.80909,1,0.92939,5.495e-06,5.495e-06,5.495e-06
