epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,25.1335,0.8766,0.65455,1,0.70085,0.0675102,0.000163265,0.000163265
2,77.6838,0.67984,0.78636,1,0.51448,0.0343402,0.000326636,0.000326636
3,104.51,0.58475,0.75455,1,0.51802,0.00116695,0.000486677,0.000486677
4,130.289,0.50982,0.80909,1,0.49387,0.000485015,0.000485015,0.000485015
5,158.448,0.45941,0.8,1,0.52461,0.00048002,0.00048002,0.00048002
6,210.635,0.40713,0.78636,1,0.55688,0.000475025,0.000475025,0.000475025
7,236.418,0.37221,0.80909,1,0.50664,0.00047003,0.00047003,0.00047003
8,263.217,0.30218,0.8,1,0.51951,0.000465035,0.000465035,0.000465035
9,289.402,0.28771,0.76364,1,0.66213,0.00046004,0.00046004,0.00046004
10,341.354,0.25007,0.78182,1,0.68014,0.000455045,0.000455045,0.000455045
11,368.64,0.30547,0.80909,1,0.59713,0.00045005,0.00045005,0.00045005
12,396.621,0.24604,0.77273,1,0.78345,0.000445055,0.000445055,0.000445055
13,423.344,0.23157,0.80455,1,0.66268,0.00044006,0.00044006,0.00044006
14,476.449,0.21584,0.80455,1,0.62929,0.000435065,0.000435065,0.000435065
15,502.683,0.27084,0.78636,1,0.7295,0.00043007,0.00043007,0.00043007
16,528.973,0.1797,0.80455,1,0.69021,0.000425075,0.000425075,0.000425075
17,555.782,0.17093,0.81364,1,0.63941,0.00042008,0.00042008,0.00042008
18,609.173,0.19815,0.8,1,0.78212,0.000415085,0.000415085,0.000415085
19,635.155,0.15332,0.81364,1,0.8331,0.00041009,0.00041009,0.00041009
20,662.456,0.165,0.8,1,0.74119,0.000405095,0.000405095,0.000405095
21,689.154,0.14114,0.79545,1,0.91208,0.0004001,0.0004001,0.0004001
22,741.774,0.1794,0.79545,1,0.84035,0.000395105,0.000395105,0.000395105
23,767.904,0.1853,0.75909,1,0.82354,0.00039011,0.00039011,0.00039011
24,795.315,0.17775,0.78182,1,0.71351,0.000385115,0.000385115,0.000385115
25,822.006,0.16687,0.80909,1,0.72852,0.00038012,0.00038012,0.00038012
26,874.191,0.16117,0.82273,1,0.78583,0.000375125,0.000375125,0.000375125
27,901.932,0.13823,0.80909,1,0.79766,0.00037013,0.00037013,0.00037013
28,929.304,0.12384,0.81364,1,0.76244,0.000365135,0.000365135,0.000365135
29,955.961,0.09448,0.80909,1,0.78727,0.00036014,0.00036014,0.00036014
30,1008.25,0.10027,0.80455,1,0.84578,0.000355145,0.000355145,0.000355145
31,1034.36,0.10594,0.83182,1,0.81178,0.00035015,0.00035015,0.00035015
32,1061.8,0.1119,0.80455,1,0.91197,0.000345155,0.000345155,0.000345155
33,1088.49,0.0769,0.78636,1,0.9826,0.00034016,0.00034016,0.00034016
34,1140.81,0.11062,0.78636,1,0.89025,0.000335165,0.000335165,0.000335165
35,1166.8,0.10098,0.78636,1,1.02377,0.00033017,0.00033017,0.00033017
36,1193.02,0.12311,0.80455,1,0.8737,0.000325175,0.000325175,0.000325175
37,1220.73,0.10929,0.81364,1,0.83591,0.00032018,0.00032018,0.00032018
38,1273.39,0.10241,0.80455,1,0.85264,0.000315185,0.000315185,0.000315185
39,1299.85,0.10625,0.80909,1,0.83189,0.00031019,0.00031019,0.00031019
40,1326.07,0.09273,0.78636,1,0.79607,0.000305195,0.000305195,0.000305195
41,1352.75,0.11975,0.78182,1,0.89257,0.0003002,0.0003002,0.0003002
42,1405.87,0.09829,0.78182,1,0.87402,0.000295205,0.000295205,0.000295205
43,1432.22,0.08047,0.75,1,1.06007,0.00029021,0.00029021,0.00029021
44,1458.55,0.09995,0.76364,1,0.97514,0.000285215,0.000285215,0.000285215
45,1485.46,0.09245,0.78636,1,0.90889,0.00028022,0.00028022,0.00028022
46,1537.81,0.09549,0.79545,1,0.88386,0.000275225,0.000275225,0.000275225
47,1564.85,0.05839,0.79091,1,0.91637,0.00027023,0.00027023,0.00027023
48,1591.28,0.05924,0.8,1,0.90482,0.000265235,0.000265235,0.000265235
49,1618.06,0.06835,0.79091,1,0.94077,0.00026024,0.00026024,0.00026024
50,1669.94,0.05667,0.78182,1,0.95008,0.000255245,0.000255245,0.000255245
51,1696.06,0.07605,0.78636,1,0.98874,0.00025025,0.00025025,0.00025025
52,1723.71,0.05354,0.80909,1,0.92539,0.000245255,0.000245255,0.000245255
53,1750.68,0.06291,0.8,1,0.95113,0.00024026,0.00024026,0.00024026
54,1803.45,0.05935,0.80455,1,0.90325,0.000235265,0.000235265,0.000235265
55,1829.55,0.05143,0.81364,1,0.89469,0.00023027,0.00023027,0.00023027
56,1856.48,0.06176,0.82273,1,0.81903,0.000225275,0.000225275,0.000225275
57,1883.6,0.05367,0.80909,1,0.85099,0.00022028,0.00022028,0.00022028
